Station,Cluster
0,0
15,0
19,0
20,0
28,0
34,0
39,0
44,0
46,0
62,0
66,0
79,0
82,0
101,0
109,0
113,0
119,0
123,0
146,0
150,0
158,0
161,0
166,0
171,0
173,0
178,0
181,0
187,0
189,0
190,0
191,0
194,0
198,0
206,0
210,0
211,0
213,0
217,0
218,0
223,0
226,0
240,0
244,0
250,0
257,0
266,0
274,0
275,0
280,0
291,0
1,1
3,1
6,1
9,1
12,1
16,1
23,1
24,1
35,1
36,1
43,1
45,1
57,1
61,1
67,1
72,1
73,1
99,1
105,1
106,1
107,1
114,1
116,1
124,1
125,1
130,1
132,1
144,1
149,1
159,1
163,1
164,1
165,1
168,1
175,1
176,1
184,1
186,1
192,1
201,1
209,1
220,1
221,1
227,1
231,1
234,1
239,1
247,1
256,1
258,1
259,1
265,1
272,1
277,1
278,1
279,1
281,1
2,2
5,2
13,2
17,2
26,2
32,2
40,2
48,2
55,2
63,2
69,2
70,2
75,2
83,2
87,2
95,2
97,2
98,2
115,2
126,2
137,2
152,2
162,2
167,2
183,2
188,2
207,2
214,2
219,2
222,2
228,2
230,2
232,2
233,2
237,2
241,2
254,2
267,2
283,2
284,2
286,2
298,2
10,3
30,3
33,3
37,3
76,3
81,3
88,3
90,3
118,3
128,3
131,3
134,3
141,3
155,3
156,3
160,3
174,3
182,3
197,3
224,3
225,3
249,3
253,3
261,3
264,3
268,3
