Station,Longitude,Latitude,Demand,Cluster,time_windows,time_windows,,,
0,118.7875164,32.04975586,10,0,4.545454545,05,,,8:05
1,118.7798845,32.02845916,-19,1,17.64705882,18,,,8:18
2,118.7680916,32.0665767,2,2,37.89473684,38,,,8:38
3,118.7977513,32.0150942,-1,1,39.13043478,39,,,8:39
5,118.774434,32.05102604,53,2,0,00,,,8:00
6,118.7820155,32.01413968,2,1,0,00,,,8:00
9,118.7921929,32.03254211,-6,1,29.44785276,29,,,8:29
10,118.7685186,32.040187,-16,3,0,00,,,8:00
12,118.7727608,32.01965071,-34,1,0,00,,,8:00
13,118.7617654,32.0606837,2,2,30.50847458,31,,,8:31
15,118.7822057,32.0545663,21,0,0,00,,,8:00
16,118.7903779,32.0258139,-25,1,16.56050955,17,,,8:17
17,118.7742694,32.0716729,4,2,28.03738318,28,,,8:28
19,118.7882933,32.04324071,51,0,0,00,,,8:00
20,118.7953252,32.04872828,-18,0,29.18918919,29,,,8:29
23,118.7883765,32.00688624,6,1,17.30769231,17,,,8:17
24,118.7838535,32.02071302,12,1,23.32155477,23,,,8:23
26,118.7743378,32.05728268,-12,2,16.66666667,17,,,8:17
28,118.8044565,32.05240023,4,0,0,00,,,8:00
30,118.7642065,32.0451195,-17,3,0,00,,,8:00
32,118.7635225,32.06855119,2,2,43.52331606,44,,,8:44
33,118.771832,32.03639877,-49,3,0,00,,,8:00
34,118.8006648,32.03583581,-59,0,0,00,,,8:00
35,118.7754427,32.01503531,-17,1,0,00,,,8:00
36,118.7966426,32.02457212,-52,1,0,00,,,8:00
37,118.7743511,32.04200337,17,3,0,00,,,8:00
39,118.79502,32.04097895,7,0,0,00,,,8:00
40,118.7726882,32.07611318,-13,2,3.488372093,03,,,8:03
43,118.7760542,32.00836194,9,1,0,00,,,8:00
44,118.8055453,32.05826824,-8,0,0,00,,,8:00
45,118.7868121,32.03145342,12,1,9.72972973,10,,,8:10
46,118.795072,32.05246928,-17,0,0,00,,,8:00
48,118.7668214,32.05891385,10,2,20.19230769,20,,,8:20
55,118.7593313,32.05618127,13,2,0,00,,,8:00
57,118.7789826,32.02412787,-3,1,40.90909091,41,,,8:41
61,118.7886432,32.01630352,-4,1,39.56043956,40,,,8:40
62,118.7845304,32.04378574,15,0,0,00,,,8:00
63,118.7609189,32.0663048,-4,2,20.93023256,21,,,8:21
66,118.7931122,32.04676639,-14,0,26.30136986,26,,,8:26
67,118.7775391,32.01861733,-6,1,33.76623377,34,,,8:34
69,118.7722023,32.06773649,45,2,9.593023256,10,,,8:10
70,118.7868333,32.07073727,-1,2,45,45,,,8:45
72,118.7931585,32.00937458,-13,1,3.468208092,03,,,8:03
73,118.7870134,32.02283906,9,1,9.448818898,09,,,8:09
75,118.7565743,32.06051926,-4,2,20.93023256,21,,,8:21
76,118.7679533,32.04794075,24,3,0,00,,,8:00
79,118.7945168,32.05620324,31,0,0,00,,,8:00
81,118.7661267,32.04259783,-31,3,9.979209979,10,,,8:10
82,118.7996868,32.05242852,-33,0,0,00,,,8:00
83,118.7735201,32.06187087,-16,2,0,00,,,8:00
87,118.777165,32.0687585,2,2,43.63636364,44,,,8:44
88,118.7712038,32.04260747,-4,3,29.75206612,30,,,8:30
90,118.7749168,32.03197937,31,3,1.503759398,02,,,8:02
95,118.7769108,32.0731515,14,2,0,00,,,8:00
97,118.7786487,32.05337293,-40,2,0,00,,,8:00
98,118.7756174,32.07652308,-28,2,0,00,,,8:00
99,118.7965372,32.02722535,14,1,27.76349614,28,,,8:28
101,118.7903307,32.05138953,-18,0,0,00,,,8:00
105,118.7859353,32.02719905,37,1,3.629032258,04,,,8:04
106,118.7950522,32.02150188,-15,1,16.90140845,17,,,8:17
107,118.7843171,32.03437771,8,1,26.86567164,27,,,8:27
109,118.7857459,32.03736591,6,0,0,00,,,8:00
113,118.7891205,32.0456442,20,0,20,20,,,8:20
114,118.7752435,32.02600727,-19,1,0,00,,,8:00
115,118.7575089,32.06788542,2,2,0,00,,,8:00
116,118.7869168,32.01954003,6,1,17.30769231,17,,,8:17
118,118.7783813,32.04147066,32,3,0,00,,,8:00
119,118.8042007,32.04681494,7,0,27.55102041,28,,,8:28
123,118.7841247,32.04769807,15,0,0,00,,,8:00
124,118.7914478,32.02840003,31,1,5.607476636,06,,,8:06
125,118.7811556,32.02218454,79,1,0,00,,,8:00
126,118.7639889,32.05088044,-12,2,0,00,,,8:00
128,118.7711499,32.03107304,-31,3,0,00,,,8:00
130,118.795703,32.03116267,-12,1,0,00,,,8:00
131,118.7702845,32.04942626,20,3,0,00,,,8:00
132,118.7827788,32.01690857,6,1,31.74603175,32,,,8:32
134,118.7747292,32.03686528,9,3,0,00,,,8:00
137,118.7719371,32.07315364,-34,2,0,00,,,8:00
141,118.7728953,32.03895634,6,3,30.33707865,30,,,8:30
144,118.7815227,32.03040206,3,1,0,00,,,8:00
146,118.8022067,32.0440866,-3,0,39.56043956,40,,,8:40
149,118.768461,32.0107148,2,1,0,00,,,8:00
150,118.8023605,32.05756758,4,0,10.71428571,11,,,8:11
152,118.75763,32.0534072,-24,2,0,00,,,8:00
155,118.7828543,32.04126138,29,3,0,00,,,8:00
156,118.7717773,32.04494105,-15,3,0,00,,,8:00
158,118.790557,32.04151658,14,0,0,00,,,8:00
159,118.7861332,32.00868469,14,1,0,00,,,8:00
160,118.7703172,32.03811635,-21,3,0,00,,,8:00
161,118.7881714,32.04107264,20,0,0,00,,,8:00
162,118.7674833,32.06909787,-23,2,0,00,,,8:00
163,118.7906938,32.01050694,-44,1,0,00,,,8:00
